UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
1302,1768,1,298.7,309.9,1483,32.8,142,0
1303,1769,1,298.6,309.8,1505,45.7,144,0
1304,1770,1,298.7,309.9,1593,42.5,146,0
1305,1771,1,298.8,310.0,2098,19.6,148,0
1306,1772,1,298.8,310.0,1672,30.4,150,0
1307,1773,1,298.8,310.0,1487,41.4,152,0
1308,1774,1,298.8,310.0,1423,42.1,154,0
1309,1775,1,298.9,310.1,1750,25.0,156,0
1310,1776,1,298.9,310.2,1654,31.1,158,0
1311,1777,1,298.9,310.2,1498,50.2,160,0
1312,1778,1,298.9,310.1,1587,30.2,162,0
1313,1779,1,298.9,310.1,1473,42.6,164,0
1314,1780,1,298.9,310.2,1359,56.9,166,0
1315,7380,2,299.0,310.3,1635,34.5,168,0
1316,1781,1,299.0,310.3,1520,45.0,171,0
1317,1782,1,299.0,310.3,1507,36.7,173,0
1318,1783,1,299.0,310.3,1428,46.3,175,0
1319,7381,2,299.0,310.3,1582,33.3,177,0
1320,1784,1,299.0,310.3,1929,24.4,180,0
1321,7382,2,299.0,310.3,1540,38.1,182,0
1322,1785,1,298.9,310.2,1362,53.0,185,0
1323,159,0,298.9,310.1,1452,49.9,187,0
1324,1786,1,298.9,310.1,1361,51.7,192,0
1325,7383,2,298.8,310.1,1243,74.5,194,1
1326,160,0,298.8,310.1,1567,36.8,197,0
1327,1787,1,298.9,310.2,1411,46.5,202,0
1328,1788,1,298.8,310.2,1814,26.8,204,0
1329,7384,2,298.8,310.1,1719,28.8,206,0
1330,161,0,298.8,310.2,1663,30.4,209,0
1331,1789,1,298.9,310.2,1696,30.2,214,0
1332,162,0,298.9,310.2,1771,26.8,216,0
1333,1790,1,299.0,310.3,1868,24.0,221,0
1334,7385,2,299.0,310.3,1558,35.4,223,0
1335,1791,1,299.0,310.4,1365,49.1,226,1
1336,1792,1,299.0,310.4,1371,53.8,228,1
1337,1793,1,298.9,310.3,1583,32.6,230,0
1338,163,0,298.7,310.2,1613,36.0,0,0
1339,1794,1,298.6,310.1,1721,27.2,5,0
1340,7386,2,298.6,310.2,1668,31.5,7,0
1341,1795,1,298.6,310.2,1569,36.3,10,0
1342,7387,2,298.6,310.2,1328,50.5,12,0
1343,7388,2,298.6,310.1,1596,33.0,15,0
1344,1796,1,298.5,310.2,1676,32.7,18,0
1345,1797,1,298.5,310.1,1809,28.9,20,0
1346,1798,1,298.5,310.0,1804,26.1,22,0
1347,1799,1,298.6,310.1,1533,33.9,24,0
1348,1800,1,298.7,310.2,1717,27.3,26,0
1349,1801,1,298.7,310.2,1363,45.5,28,0
1350,1802,1,298.7,310.2,1402,45.9,30,0
1351,1803,1,298.7,310.2,1436,47.5,32,0
1352,1804,1,298.7,310.2,1525,43.7,34,0
1353,7389,2,298.7,310.2,1598,33.3,36,0
1354,7390,2,298.6,310.1,1444,48.1,39,0
1355,1805,1,298.6,310.0,1334,48.0,42,0
1356,7391,2,298.6,310.0,1681,35.5,44,0
1357,1806,1,298.6,309.9,1593,37.4,47,0
1358,1807,1,298.6,309.9,1461,45.7,49,0
1359,7392,2,298.7,310.1,1693,31.9,51,0
1360,1808,1,298.7,310.2,1404,50.3,54,0
1361,164,0,298.8,310.2,1707,27.6,56,0
1362,7393,2,298.6,310.1,1458,41.9,61,0
1363,1809,1,298.6,310.0,1517,41.2,64,0
1364,1810,1,298.7,310.1,1433,54.6,66,0
1365,1811,1,298.7,310.2,1566,33.1,68,0
1366,1812,1,298.7,310.1,1676,33.5,70,0
1367,7394,2,298.7,310.1,1368,56.8,72,0
1368,7395,2,298.8,310.2,1581,37.5,75,0
1369,165,0,298.8,310.3,1708,27.1,78,0
1370,7396,2,298.7,310.3,1481,41.5,83,0
1371,1813,1,298.7,310.3,1451,40.0,86,0
1372,7397,2,298.7,310.3,1495,38.7,88,0
1373,7398,2,298.8,310.3,1573,41.8,91,0
1374,7399,2,298.8,310.3,1366,59.0,94,0
1375,1814,1,298.8,310.3,1553,36.8,97,0
1376,7400,2,298.8,310.3,1528,37.1,99,0
1377,7401,2,298.8,310.2,1527,31.2,102,0
1378,1815,1,298.8,310.2,1461,46.7,105,0
1379,166,0,298.8,310.2,1455,44.9,107,0
1380,1816,1,298.7,310.1,1620,34.8,112,0
1381,1817,1,298.7,310.1,1786,27.7,114,0
1382,7402,2,298.8,310.2,1583,35.7,116,0
1383,1818,1,298.8,310.1,1653,30.3,119,0
1384,7403,2,298.9,310.2,1331,49.0,121,0
1385,1819,1,298.9,310.3,1484,43.8,124,0
1386,7404,2,298.9,310.2,1603,36.1,126,0
1387,1820,1,298.9,310.2,1445,40.0,129,0
1388,1821,1,298.9,310.1,1823,26.1,131,0
1389,167,0,298.9,310.1,1491,45.3,133,0
1390,1822,1,298.9,310.2,1533,42.8,138,0
1391,1823,1,298.9,310.2,1409,54.8,140,0
1392,1824,1,298.9,310.2,2737,8.8,142,1
1393,7405,2,299.0,310.3,1494,46.6,144,0
1394,1825,1,299.1,310.4,1594,33.3,147,0
1395,1826,1,299.1,310.4,1527,44.0,149,0
1396,1827,1,299.1,310.4,1452,39.7,151,0
1397,1828,1,299.0,310.3,1483,39.2,153,0
1398,1829,1,299.1,310.2,1569,38.2,155,0
1399,1830,1,299.1,310.3,1472,46.6,157,0
1400,1831,1,299.0,310.2,1533,43.5,159,0
1401,168,0,298.9,310.1,1366,62.7,161,0
1402,169,0,298.9,310.2,1532,37.7,166,0
1403,7406,2,298.9,310.1,1313,56.8,171,0
1404,1832,1,299.0,310.2,1372,48.0,174,0
1405,7407,2,298.9,310.1,1555,40.6,176,0
1406,1833,1,298.9,310.1,1394,42.7,179,0
1407,1834,1,298.9,310.1,1442,48.0,181,0
1408,1835,1,298.9,310.0,1564,33.8,183,0
1409,1836,1,298.9,310.0,1452,48.9,185,0
1410,1837,1,298.9,310.1,1466,42.5,187,0
1411,7408,2,298.9,310.1,1469,53.2,189,0
1412,1838,1,298.9,310.1,1944,23.4,192,0
1413,7409,2,298.8,309.9,1415,53.2,194,0
1414,7410,2,298.7,309.8,1528,36.7,197,0
1415,7411,2,298.7,309.8,1570,42.1,200,0
1416,1839,1,298.7,309.9,1617,33.0,203,0
1417,7412,2,298.7,309.9,2083,18.2,205,0
1418,1840,1,298.7,309.9,1541,38.5,208,0
1419,1841,1,298.8,309.9,1320,47.4,210,0
1420,1842,1,298.7,309.8,1354,53.3,212,1
1421,7413,2,298.8,309.9,1495,35.2,214,0
1422,1843,1,298.7,309.8,1589,31.8,217,0
1423,1844,1,298.7,309.8,1530,35.5,0,0
1424,1845,1,298.7,309.8,1539,33.4,2,0
1425,1846,1,298.7,309.7,1462,46.8,4,0
1426,1847,1,298.6,309.7,1356,54.0,6,0
1427,7414,2,298.7,309.7,1622,34.6,8,0
1428,1848,1,298.7,309.8,1394,40.3,11,0
1429,1849,1,298.8,309.9,1568,33.7,13,0
1430,7415,2,298.9,310.0,1456,43.8,15,0
1431,1850,1,298.9,310.0,1378,49.3,18,0
1432,7416,2,298.9,309.9,1404,41.4,20,0
1433,1851,1,298.8,309.8,1437,42.8,23,0
1434,1852,1,298.8,309.8,1363,44.0,25,0
1435,7417,2,298.8,309.8,1377,49.6,27,0
1436,170,0,298.8,309.9,1526,42.1,30,0
1437,171,0,298.8,309.8,1510,44.2,35,0
1438,172,0,298.8,309.9,1439,45.2,40,1
1439,1853,1,298.8,309.9,1482,39.1,45,0
1440,7418,2,298.8,309.8,1534,37.0,47,0
1441,7419,2,298.8,309.9,1741,27.7,50,0
1442,1854,1,298.8,309.9,1550,38.8,53,0
1443,7420,2,298.8,310.0,1486,38.5,55,0
1444,1855,1,298.9,310.1,1602,38.2,58,0
1445,1856,1,299.0,310.2,1477,37.9,60,0
1446,1857,1,299.0,310.1,1618,29.2,62,0
1447,7421,2,299.0,310.2,1628,35.8,64,0
1448,7422,2,299.0,310.3,1662,33.6,67,0
1449,7423,2,299.0,310.3,1657,31.0,70,0
1450,173,0,299.0,310.4,1677,30.8,73,0
1451,7424,2,299.0,310.3,1447,39.9,78,0
1452,1858,1,298.9,310.4,1831,25.4,81,0
1453,1859,1,299.0,310.3,1584,34.4,83,0
1454,1860,1,299.1,310.4,1450,40.9,85,0
1455,1861,1,299.1,310.4,1428,46.9,87,0
1456,1862,1,299.0,310.4,1382,53.0,89,0
1457,1863,1,299.0,310.3,1501,43.0,91,0
1458,1864,1,299.0,310.3,1475,42.4,93,0
1459,1865,1,298.9,310.3,1364,54.0,95,0
1460,1866,1,299.0,310.3,1472,36.1,97,0
1461,1867,1,299.0,310.3,1437,47.8,99,0
1462,1868,1,298.9,310.2,1491,45.1,101,0
1463,1869,1,298.9,310.2,1706,27.6,103,0
1464,1870,1,298.8,310.1,1607,39.5,105,0
1465,1871,1,298.8,310.0,1412,46.3,107,0
1466,1872,1,298.7,309.8,1546,40.9,109,0
1467,1873,1,298.7,309.8,1365,50.5,111,0
1468,1874,1,298.6,309.8,1544,30.2,113,0
1469,7425,2,298.6,309.8,1419,44.9,115,0
1470,1875,1,298.6,309.8,1497,41.6,118,0
1471,1876,1,298.5,309.7,1437,42.6,120,0
1472,1877,1,298.5,309.6,1421,53.6,122,0
1473,7426,2,298.5,309.6,1438,44.5,124,0
1474,7427,2,298.5,309.5,1315,48.9,127,0
1475,7428,2,298.5,309.5,1366,61.9,130,0
1476,7429,2,298.4,309.5,1519,35.4,133,0
1477,1878,1,298.4,309.5,1692,28.3,136,0
1478,1879,1,298.3,309.4,1570,35.6,138,0
1479,1880,1,298.3,309.4,1568,35.8,140,0
1480,1881,1,298.2,309.3,1355,43.8,142,0
1481,7430,2,298.2,309.3,2056,18.7,144,0
1482,7431,2,298.2,309.2,1332,60.2,147,0
1483,7432,2,298.1,309.1,1448,52.5,150,0
1484,1882,1,298.0,308.9,1578,35.6,153,0
1485,7433,2,298.0,309.0,1562,39.2,155,0
1486,7434,2,298.1,309.0,1976,19.3,158,0
1487,7435,2,298.2,309.2,1524,34.6,161,0
1488,1883,1,298.2,309.1,1429,48.5,164,0
1489,1884,1,298.2,309.1,1568,36.3,166,0
1490,7436,2,298.2,309.0,1723,26.6,168,0
1491,1885,1,298.2,309.0,1341,43.8,171,0
1492,7437,2,298.1,308.9,1353,46.2,173,0
1493,7438,2,298.0,308.7,1479,58.5,176,1
1494,1886,1,298.0,308.8,1496,44.9,179,0
1495,7439,2,298.0,308.7,1377,48.5,181,0
1496,174,0,297.9,308.5,1383,44.6,184,0
1497,1887,1,298.0,308.7,1268,69.4,189,1
1498,1888,1,298.0,308.7,1629,34.3,191,0
1499,1889,1,298.0,308.8,1790,27.2,193,0
1500,7440,2,298.1,308.8,2206,16.3,195,0
1501,7441,2,298.0,308.7,2101,17.4,198,0
1502,7442,2,298.0,308.7,1436,48.2,201,0
1503,1890,1,298.0,308.7,1462,48.2,204,0
1504,1891,1,298.0,308.7,1771,26.2,206,0
1505,1892,1,298.0,308.7,1506,47.0,208,0
1506,1893,1,298.0,308.7,1626,36.7,210,0
1507,1894,1,298.0,308.8,1610,33.7,212,0
1508,7443,2,298.0,308.6,1376,55.7,214,0
1509,7444,2,298.0,308.6,1507,37.3,217,0
1510,1895,1,298.0,308.5,1429,37.7,220,1
1511,7445,2,298.1,308.7,1547,38.9,0,0
1512,1896,1,298.1,308.7,1642,30.3,3,0
1513,175,0,298.0,308.7,1503,36.3,5,0
1514,1897,1,298.1,308.7,1568,32.9,10,0
1515,7446,2,298.1,308.8,1628,37.6,12,0
1516,7447,2,298.2,308.9,1614,35.5,15,0
1517,1898,1,298.2,308.9,1278,54.0,18,0
1518,7448,2,298.2,308.9,1408,38.8,20,0
1519,176,0,298.2,309.0,1371,55.7,23,0
1520,7449,2,298.2,308.9,1512,38.5,28,0
1521,1899,1,298.3,309.1,1472,40.1,31,0
1522,7450,2,298.2,308.9,1585,34.3,33,0
1523,177,0,298.2,309.0,1562,37.7,36,0
1524,1900,1,298.3,309.0,1519,36.9,41,0
1525,1901,1,298.2,309.0,1601,35.8,43,0
1526,1902,1,298.2,309.0,2449,13.8,45,0
1527,1903,1,298.1,309.0,1787,27.6,47,0
1528,178,0,298.1,309.1,1425,44.5,49,0
1529,1904,1,298.1,309.0,1559,34.0,54,0
1530,1905,1,298.1,309.0,1557,36.0,56,0
1531,1906,1,298.1,309.0,1497,40.5,58,0
1532,179,0,298.1,309.0,1438,41.4,60,0
1533,7451,2,298.1,308.9,1417,39.2,65,0
1534,7452,2,298.0,308.9,1339,51.4,68,0
1535,1907,1,298.0,308.8,1757,29.1,71,0
1536,1908,1,298.0,308.8,1581,36.1,73,0
1537,7453,2,298.2,308.9,1326,54.4,75,0
1538,7454,2,298.4,309.1,1467,39.6,78,0
1539,1909,1,298.4,309.1,1798,29.6,81,0
1540,7455,2,298.5,309.2,1449,46.4,83,0
1541,7456,2,298.4,309.1,1525,39.3,86,0
1542,1910,1,298.4,309.0,2304,15.1,89,0
1543,1911,1,298.3,308.9,1379,54.7,91,0
1544,1912,1,298.4,308.9,1628,34.9,93,0
1545,1913,1,298.4,309.0,1474,52.7,95,0
1546,7457,2,298.4,309.0,1544,38.8,97,0
1547,1914,1,298.4,308.9,1391,48.4,100,0
1548,1915,1,298.3,308.9,1348,55.5,102,0
1549,7458,2,298.3,308.8,1349,52.1,104,0
1550,1916,1,298.4,308.9,1706,29.5,107,0
1551,1917,1,298.4,308.9,1638,32.4,109,0
1552,1918,1,298.4,308.8,1458,40.1,111,0
1553,1919,1,298.5,308.9,1781,27.8,113,0
1554,1920,1,298.5,308.8,1332,59.1,115,0
1555,7459,2,298.4,308.7,1584,31.7,117,0
1556,1921,1,298.4,308.6,1491,42.0,120,0
1557,180,0,298.4,308.5,1398,47.1,122,0
1558,1922,1,298.3,308.4,1585,30.6,127,0
1559,7460,2,298.2,308.3,1476,43.5,129,0
1560,1923,1,298.2,308.3,1458,41.8,132,0
1561,7461,2,298.2,308.4,1510,39.9,134,0
1562,1924,1,298.2,308.4,1388,53.8,137,0
1563,1925,1,298.2,308.3,2216,16.8,139,0
1564,1926,1,298.2,308.3,1402,51.0,141,0
1565,7462,2,298.0,308.2,2090,19.0,143,0
1566,1927,1,298.0,308.2,1459,42.1,146,0
1567,7463,2,298.0,308.1,1403,44.8,148,0
1568,1928,1,298.1,308.2,1521,39.3,151,0
1569,1929,1,298.2,308.2,1407,47.1,153,0
1570,7464,2,298.1,308.2,1654,35.3,155,0
1571,1930,1,298.2,308.4,1452,43.5,158,0
1572,1931,1,298.3,308.4,1528,37.3,160,0
1573,1932,1,298.2,308.3,1230,59.6,162,0
1574,1933,1,298.2,308.2,1466,42.4,164,0
1575,1934,1,298.2,308.2,1478,50.1,166,0
1576,1935,1,298.2,308.3,2057,18.0,168,0
1577,1936,1,298.3,308.4,1490,41.7,170,0
1578,1937,1,298.3,308.4,1484,43.4,172,0
1579,1938,1,298.3,308.4,1593,37.0,174,0
1580,1939,1,298.3,308.3,1444,43.8,176,0
1581,7465,2,298.3,308.4,1444,47.5,178,0
1582,7466,2,298.2,308.3,1560,33.0,181,0
1583,181,0,298.1,308.3,1530,42.0,184,0
1584,1940,1,298.2,308.4,1310,61.0,189,1
1585,7467,2,298.2,308.3,1639,33.3,191,0
1586,1941,1,298.2,308.3,1400,48.7,194,0
1587,7468,2,298.3,308.4,1486,44.2,196,0
1588,7469,2,298.2,308.3,1448,43.3,199,0
1589,1942,1,298.2,308.3,1688,32.0,202,0
1590,7470,2,298.1,308.3,1453,41.5,204,0
1591,1943,1,298.2,308.4,1497,37.7,207,0
1592,1944,1,298.2,308.4,1355,49.4,209,0
1593,1945,1,298.1,308.4,1592,38.2,211,0
1594,1946,1,298.0,308.3,1544,34.7,213,0
1595,7471,2,298.0,308.2,1373,51.2,215,0
1596,1947,1,298.0,308.2,1365,52.9,218,1
1597,1948,1,298.0,308.1,1877,24.3,0,0
1598,1949,1,297.9,308.1,1531,40.8,2,0
1599,1950,1,297.9,308.0,1501,36.7,4,0
1600,1951,1,297.9,308.0,1490,46.2,6,0
1601,7472,2,297.8,307.8,1543,43.7,8,0
1602,1952,1,297.8,307.8,1597,38.2,11,0
1603,182,0,297.8,307.9,1600,33.5,13,0
1604,7473,2,297.8,307.8,1622,32.1,18,0
1605,1953,1,297.8,307.8,1452,39.8,21,0
1606,1954,1,297.8,307.8,1396,42.5,23,0
1607,1955,1,297.8,307.7,1505,39.7,25,0
1608,1956,1,297.8,307.8,1412,48.3,27,0
1609,1957,1,297.8,307.7,1393,38.0,29,0
1610,1958,1,297.7,307.7,1581,34.9,31,0
1611,1959,1,297.8,307.8,1573,37.9,33,0
1612,7474,2,297.8,307.9,1726,27.3,35,0
1613,7475,2,297.9,307.9,1540,39.8,38,0
1614,1960,1,297.9,308.0,1296,62.9,41,0
1615,7476,2,297.8,307.9,1802,25.8,43,0
1616,1961,1,297.8,307.9,1447,48.6,46,0
1617,183,0,297.8,307.8,1662,30.7,48,0
1618,1962,1,297.8,307.8,1563,34.3,53,0
1619,1963,1,297.9,307.8,1286,59.5,55,0
1620,1964,1,297.9,307.7,1590,34.6,57,0
1621,1965,1,297.9,307.7,1492,43.7,59,0
1622,1966,1,297.7,307.6,1844,21.9,61,0
1623,184,0,297.7,307.6,1538,38.3,63,0
1624,1967,1,297.7,307.6,1921,22.9,68,0
1625,7477,2,297.8,307.8,1310,57.9,70,0
1626,1968,1,297.9,307.8,1365,46.9,73,0
1627,7478,2,297.9,307.8,1303,59.3,75,0
1628,1969,1,297.9,307.8,1499,37.5,78,0
1629,1970,1,297.9,307.8,1451,38.2,80,0
1630,7479,2,297.9,307.9,1336,54.4,82,0
1631,1971,1,297.9,307.9,1412,44.5,85,0
1632,1972,1,298.0,308.0,1433,39.2,87,0
1633,1973,1,297.9,307.9,1426,43.6,89,0
1634,1974,1,297.9,307.9,1476,45.2,91,0
1635,185,0,297.9,307.9,1406,58.5,93,0
1636,1975,1,297.8,307.8,1383,56.5,98,0
1637,1976,1,297.9,307.8,1505,37.3,100,0
1638,1977,1,297.9,307.8,1665,33.9,102,0
1639,1978,1,297.9,307.8,1397,45.0,104,0
1640,7480,2,297.9,307.8,1450,43.5,106,0
1641,1979,1,298.0,307.8,1567,36.4,109,0
1642,7481,2,298.0,308.0,1555,37.0,111,0
1643,186,0,298.0,307.8,1588,35.4,114,0
1644,1980,1,298.0,307.8,1453,37.7,119,0
1645,1981,1,298.0,307.8,1622,33.3,121,0
1646,1982,1,297.9,307.8,1538,38.5,123,0
1647,7482,2,297.9,307.7,1527,42.8,125,0
1648,1983,1,297.8,307.8,1761,28.9,128,0
1649,1984,1,297.9,307.8,1373,50.2,130,0
1650,187,0,298.0,307.9,1482,37.8,132,0
1651,7483,2,298.0,307.9,1417,51.0,137,0
1652,1985,1,298.0,307.8,1414,51.7,140,0
1653,188,0,297.9,307.8,1635,34.0,142,0
1654,1986,1,298.0,307.8,1386,57.3,147,0
1655,1987,1,298.2,308.1,1379,62.3,149,0
1656,7484,2,298.2,308.0,1577,35.9,151,0
1657,1988,1,298.2,308.1,1532,42.5,154,0
1658,7485,2,298.1,308.0,1374,48.8,156,0
1659,189,0,298.1,308.0,1570,35.3,159,0
1660,1989,1,298.1,308.0,1697,31.0,164,0
1661,1990,1,298.2,308.0,1499,44.1,166,0
1662,7486,2,298.2,308.0,1411,47.2,168,0
1663,190,0,298.2,307.9,1462,45.5,171,0
1664,7487,2,298.1,307.9,1759,28.6,176,0
1665,1991,1,298.2,308.0,1535,38.0,179,0
1666,191,0,298.2,307.9,1491,39.7,181,0
1667,1992,1,298.2,307.9,1551,36.0,186,0
1668,1993,1,298.2,307.9,1769,27.2,188,0
1669,1994,1,298.2,307.9,1551,34.1,190,0
1670,1995,1,298.2,307.9,1544,31.4,192,0
1671,1996,1,298.2,307.8,1528,31.1,194,0
1672,1997,1,298.1,307.9,1614,35.8,196,0
1673,1998,1,298.1,307.8,1432,49.8,198,0
1674,7488,2,298.1,307.8,1384,43.7,200,0
1675,1999,1,298.1,307.8,1540,37.8,203,0
1676,2000,1,298.0,307.7,1407,43.9,205,0
1677,192,0,297.9,307.6,1418,43.0,207,0
1678,7489,2,297.9,307.5,1647,30.8,212,0
1679,2001,1,298.0,307.5,1644,32.8,215,0
1680,2002,1,298.0,307.5,1792,27.9,217,0
1681,7490,2,297.9,307.4,1610,34.6,219,0
1682,7491,2,297.8,307.3,1804,26.0,222,0
1683,193,0,297.9,307.4,1604,36.1,225,1
1684,7492,2,297.9,307.4,1403,52.8,0,0
1685,2003,1,297.8,307.3,1438,44.5,3,0
1686,2004,1,297.9,307.3,1824,26.3,5,0
1687,194,0,297.9,307.3,1663,28.7,7,0
1688,2005,1,297.9,307.3,1502,36.7,12,0
1689,2006,1,297.9,307.4,1606,35.5,14,0
1690,2007,1,297.9,307.5,1561,37.7,16,0
1691,7493,2,297.9,307.4,1435,42.9,18,0
1692,2008,1,297.9,307.5,1602,38.3,21,0
1693,7494,2,298.1,307.6,1764,27.7,23,0
1694,195,0,298.0,307.5,1683,27.8,26,0
1695,2009,1,298.0,307.5,1618,35.2,31,0
1696,2010,1,298.0,307.6,1509,41.6,33,0
1697,2011,1,297.9,307.6,1550,39.0,35,0
1698,7495,2,297.9,307.6,1519,44.0,37,0
1699,2012,1,297.9,307.6,1481,38.0,40,0
1700,2013,1,298.1,307.7,1289,48.3,42,0
1701,7496,2,298.0,307.6,1844,23.8,44,0
1702,2014,1,298.0,307.7,1479,42.5,47,0
1703,2015,1,298.0,307.7,1430,47.3,49,0
1704,7497,2,298.1,307.8,1636,36.7,51,0
1705,7498,2,298.1,307.8,1503,44.7,54,0
1706,7499,2,298.1,307.8,1608,32.6,57,0
1707,2016,1,298.2,307.8,1521,42.9,60,0
1708,2017,1,298.2,307.8,1439,41.6,62,0
1709,2018,1,298.2,307.8,1627,31.5,64,0
1710,2019,1,298.2,307.8,1749,26.1,66,0
1711,2020,1,298.2,307.8,1530,35.9,68,0
1712,2021,1,298.2,307.8,1355,51.3,70,0
1713,2022,1,298.3,307.9,1551,33.8,72,0
1714,2023,1,298.2,307.8,1515,46.7,74,0
1715,2024,1,298.2,307.8,1388,48.6,76,0
1716,2025,1,298.2,307.8,1585,34.6,78,0
1717,2026,1,298.1,307.7,1523,37.7,80,0
1718,2027,1,298.2,307.6,1369,54.5,82,0
1719,7500,2,298.2,307.7,1681,31.0,84,0
1720,2028,1,298.2,307.7,1503,38.3,87,0
1721,2029,1,298.2,307.7,1459,44.5,89,0
1722,2030,1,298.2,307.7,1688,32.4,91,0
1723,7501,2,298.2,307.7,1952,21.6,93,0
1724,2031,1,298.2,307.8,2029,19.9,96,0
1725,7502,2,298.3,307.8,1457,52.5,98,0
1726,7503,2,298.3,307.8,1392,50.4,101,0
1727,2032,1,298.3,307.8,1906,22.1,104,0
1728,7504,2,298.3,307.7,1602,33.4,106,0
1729,2033,1,298.3,307.7,1465,49.4,109,0
1730,7505,2,298.3,307.7,1439,43.8,111,0
1731,7506,2,298.3,307.8,1330,55.4,114,0
1732,7507,2,298.3,307.9,1485,42.0,117,0
1733,196,0,298.4,307.9,1700,28.2,120,0
1734,2034,1,298.4,308.0,1515,42.8,125,0
1735,7508,2,298.5,308.1,1501,39.2,127,0
1736,2035,1,298.4,308.0,1380,47.6,130,0
1737,2036,1,298.4,307.9,1544,35.9,132,0
1738,2037,1,298.4,307.9,1743,27.3,134,0
1739,197,0,298.4,307.9,1948,21.4,136,0
1740,198,0,298.5,307.9,1260,54.2,141,0
1741,7509,2,298.5,307.9,1640,33.1,146,0
1742,7510,2,298.5,308.0,1363,49.2,149,0
1743,2038,1,298.5,308.0,1379,49.6,152,0
1744,7511,2,298.5,308.0,1713,25.8,154,0
1745,7512,2,298.5,308.0,1461,51.9,157,0
1746,2039,1,298.5,308.0,1624,29.8,160,0
1747,2040,1,298.4,308.0,1526,41.1,162,0
1748,2041,1,298.4,307.9,2381,14.2,164,0
1749,199,0,298.4,307.7,1626,31.1,166,0
1750,2042,1,298.3,307.7,1576,33.8,171,0
1751,7513,2,298.4,307.8,1617,31.6,173,0
1752,2043,1,298.3,307.6,1942,20.6,176,0
1753,2044,1,298.2,307.6,1492,37.2,178,0
1754,2045,1,298.2,307.5,1470,51.3,180,0
1755,7514,2,298.0,307.4,1463,46.5,182,0
1756,2046,1,298.0,307.3,1424,46.5,185,0
1757,7515,2,298.1,307.4,1363,60.1,187,0
1758,7516,2,298.1,307.4,1335,56.2,190,0
1759,2047,1,298.1,307.4,1608,33.9,193,0
1760,200,0,298.0,307.4,1606,35.2,195,0
1761,2048,1,298.1,307.5,1684,33.1,200,0
1762,2049,1,298.1,307.6,1950,20.3,202,0
1763,201,0,298.2,307.6,1460,48.6,204,0
1764,2050,1,298.2,307.6,1511,31.0,209,1
1765,202,0,298.2,307.6,1318,55.7,0,0
1766,2051,1,298.2,307.6,1368,51.8,5,0
1767,7517,2,298.3,307.7,1717,27.1,7,0
1768,7518,2,298.3,307.7,1520,41.4,10,0
1769,7519,2,298.3,307.8,1485,42.0,13,0
1770,2052,1,298.4,307.9,1981,23.2,16,0
1771,203,0,298.4,307.9,1605,31.0,18,0
1772,2053,1,298.4,307.9,1446,45.3,23,0
1773,2054,1,298.4,308.0,1508,47.9,25,0
1774,2055,1,298.5,308.0,1384,59.5,27,0
1775,7520,2,298.5,308.0,1519,37.3,29,0
1776,2056,1,298.5,308.0,1404,48.1,32,0
1777,2057,1,298.5,308.1,1564,31.1,34,0
1778,204,0,298.6,308.2,1555,36.8,36,0
1779,2058,1,298.6,308.2,1325,54.0,41,0
1780,7521,2,298.6,308.2,1488,44.0,43,0
1781,2059,1,298.5,308.2,1595,32.3,46,0
1782,2060,1,298.5,308.1,1662,28.6,48,0
1783,2061,1,298.4,308.0,1571,37.4,50,0
1784,205,0,298.3,308.0,1553,41.0,52,0
1785,2062,1,298.3,308.0,2886,3.8,57,1
1786,2063,1,298.2,308.0,1538,38.2,59,0
1787,2064,1,298.4,308.2,1618,33.0,61,0
1788,2065,1,298.4,308.2,1364,45.9,63,0
1789,2066,1,298.3,308.0,1442,47.3,65,0
1790,2067,1,298.2,307.9,1313,67.3,67,1
1791,2068,1,298.2,307.9,1847,23.6,69,0
1792,2069,1,298.1,307.8,1524,40.8,71,0
1793,7522,2,298.1,307.7,1445,48.0,73,0
1794,2070,1,298.1,307.8,1761,28.2,76,0
1795,7523,2,298.1,307.8,1514,43.5,78,0
1796,7524,2,298.1,307.7,1498,38.3,81,0
1797,206,0,298.1,307.6,1542,37.1,84,0
1798,7525,2,298.0,307.6,1508,41.8,89,0
1799,7526,2,298.0,307.5,1431,52.9,92,0
1800,7527,2,298.0,307.5,1427,45.1,95,0
1801,7528,2,298.0,307.5,1524,36.3,98,0
1802,7529,2,298.0,307.5,1427,43.6,101,0
1803,207,0,298.1,307.6,1496,44.1,104,0
1804,2071,1,298.1,307.7,1388,40.3,109,0
1805,2072,1,298.1,307.7,1495,48.1,111,0
1806,208,0,298.1,307.7,1376,56.2,113,0
1807,209,0,298.0,307.6,1593,32.2,118,0
1808,2073,1,298.0,307.6,1654,28.9,123,0
1809,2074,1,298.1,307.7,2567,12.8,125,1
1810,2075,1,298.1,307.7,1767,27.0,127,0
1811,2076,1,298.1,307.6,1364,53.8,129,0
1812,7530,2,298.1,307.8,1569,31.2,131,0
1813,2077,1,298.2,307.8,1476,36.8,134,0
1814,2078,1,298.1,307.7,1479,45.0,136,0
1815,2079,1,298.1,307.7,1650,34.1,138,0
1816,7531,2,298.1,307.6,1565,36.3,140,0
1817,2080,1,298.1,307.6,1460,46.5,143,0
1818,2081,1,298.1,307.7,1664,27.6,145,0
1819,7532,2,298.1,307.7,1435,40.9,147,0
